ID;stem_IDN2;stem_EN;stem_DE;stem_form;stem_id;kms_Alphabet;kms_page;kms_entry_no
73;Bagian-bagian yang mulia/berharga dari babi hutan;The noble/precious parts of the wild boar;die edlen Teile des Wildschweins;eʔaha:oa ukoyo;9_1685501099;a;7;6
75;Isi perut babi;The guts of the pig;die Eingeweide des Schweins;eʔaha:ua ukoyo;9_1685501326;a;7;8
77;pergi (bentuk tunggal)!;go (sg)!;geheǃ;ahe;9_1685501814;a;8;1
78;Jembatan karang;Coral bridge;Korallenbrücke;eaheida;9_1685501857;a;8;2
79;Nama wilayah sebelumnya (?);Name of a former (?) Region;Name eines ehemaligen (?) Landstriches;eʔahepeʔa;9_1685501923;a;8;3
80;setelah;after;nachdem;ahədəhəda;9_1685501984;a;8;4
81;adik;younger sibling;jüngeres Geschwister;eãhĩ;9_1685502030;a;8;5
83;Spesies pohon;Tree species;Baumart;eʔahioba;9_1685502128;a;8;7
84;Desa yang dulunya berada di pusat pegunungan pulau Enggano. Sekarang hanya ada satu batu nisan yang menandakan keberadaan sebuah pemukiman;Village that used to be in the mountainous center of the island of Enggano. Now only a single tombstone indicates the former existence of a settlement;Dorf, das früher in der gebirgigen Mitte der Insel Enggano lag. Jetzt zeigt dort nur noch ein einzelner Grabstein das ehemalige Vorhandensein einer Siedlung an;Ahipeʔa;9_1685502238;a;8;8
85;setelah;after;nachdem;ahoo;9_1685502277;a;8;9
87;Nama laki-laki;Male name;Männername;Ahoali;9_1685502420;a;8;11
88;abu;ash;Asche;eahoi;9_1685502470;a;8;12
89;Nama tempat di Enggano;Place on Enggano;Ort auf Enggano;Ahokaha;9_1685502531;a;8;13
91;menjadi halus;to be smooth;glatt sein;ahuea;9_1685502616;a;8;15
92;ohǃ;ohǃ;ohǃ;ai;9_1685502646;a;8;16
93;datang! (bentuk tunggal);come! (sg);kommǃ;ai;9_1685502983;a;8;17
94;Kami (nominatif) , kami (eksklusif) (akusatif , datif);We (nom) , us (exclusive) (acc , dat);wir, uns (ex);ʔai;9_1685503112;a;9;1
95;Sabuk kemaluan;Pubic belt;Schamgürtel;eʔãĩ;9_1685503160;a;9;2
97;turun!;descend!;steige herabǃ;aʔiae;9_1685503772;a;9;4
98;Permainan, lelucon;Game , joke;Spiel, Scherz;eaicara;9_1685503805;a;9;5
100;Permainan, lelucon;Game , joke;Spiel, Scherz;eaidara;9_1685503874;a;9;7
101;Spesies ikan;Fish species;Fischart;eaixiúa;9_1685503905;a;9;8
103;besar;large;groß;a:iʔĩã;9_1685504127;a;9;10
104;besar;large;groß;ã:ĩʔĩ́o;9_1685504162;a;9;11
110;dewasa;adulthood;d Erwachsensein;eainamo;9_1685504757;a;10;5
111;Janda (laki-laki/perempuan) yang tidak akan menikah lagi;Divorcee (m/f) who will not remarry;Geschiedener(r), der/die nicht wieder heiratet (BB: I believe this should be Geschiedene(r) to mark m/f. This seems to be a typo in the printed version;eʔainãmõã;9_1685504803;a;10;6
113;yang akan datang;the coming;das Kommen;eaiña;9_1685504860;a;10;8
115;ikutiǃ / kejar!;followǃ/pursue!;(ver)folgeǃ;aʔioi;9_1685505008;a;10;10
116;ikuti, kejar, patuhi!;follow , pursue , obey!;folge, verfolge, befolgeǃ;aʔioʔoi;9_1685625555;a;10;11
118;"(""yang akan dipancing"" =) ikan";"(""the one to be fished"" =) fish";"(""der zu Angelnde"" =) Fisch";eʔá:íyo;9_1685625844;a;10;13
119;followǃ;followǃ;folgeǃ;aiyoʔoi;9_1685625987;a;10;14
120;Insang;Gills;Kiemen;eãkã;9_1685626123;a;10;15
122;Ikat kepala yang terbuat dari bulu babi;Headband made of pork hair;Stirnband aus Schweinehaaren;eakã́ʔã:ĩ;15_1685503761;a;11;2
123;Spesies ikan;Fish species;Fischart;eakabita;15_1685503832;a;11;3
125;kayu bakar;firewood;Brennholz;eakáixo;15_1685504182;a;11;5
126;semak belukar;shrub;Strauch;eakamṍkĩ;15_1685504287;a;11;6
127;Spesies ikan yang bisa melompat;Fish species that can jump;Fischart, die springen kann;eakãnĩ́ãmẽ;15_1685504472;a;11;7
128;Barang-barang yang diselipkan di antara kedua kaki untuk menutupi bagian pribadi;Stuff slipped between the legs to cover the private parts;Zeug, das zwischen den Beinen durchgezogen wird, um die Schamteile zu bedecken;eakanõ;15_1685504780;a;11;8
129;keranjang yang dianyam dari rotan, yang dilapisi dengan daun pisang raja dan berfungsi sebagai wadah makanan;basket woven from rattan , which was lined with plantain leaves and served as a food container;aus Rotan geflochtener Korb, der mit Pisangblättern ausgelegt wurde und als Eßbehälter diente;eakanuóno;15_1685504934;a;11;9
130;bahwa , sehingga (muncul di akhir);that , so that (final);daß, damit (final);akee;15_1685505011;a;11;10
133;yang akan datang;the coming about;d Zustandekommen;eakəʔa;15_1685955187;a;11;13
135;enam;six;sechs;ʔakìakína;15_1685955505;a;11;15
138;semua makanan yang dibawa untuk festival Eakalea;all the food that is brought in for the eakalea festival;sämtliche Nahrungsmittel, die für das eakalea - Fest herbeigeschafft werden;eakoʔaea;15_1685956576;a;11;18
139;Spesies burung;Bird species;Vogelart;eakóa:u;15_1685956654;a;11;19
140;tiga;three;drei;ʔakodu;15_1685956938;a;12;1
141;Ikat kepala yang terbuat dari bulu babi dan manik-manik kaca yang dikenakan para pria di festival Eakalea;Headband made of pork hair and glass beads that men wore at the Eakalea festival;Stirnband aus Schweinehaaren und Glasperlen, das Männer beim eakalea -Fest trugen;eʔakṍʔẽ;15_1685957199;a;12;2
142;Spesies ikan;Fish species;Fischart;eãkõkõõ;15_1685957267;a;12;3
143;tiga;three;drei;ʔakoru;15_1685957913;a;12;4
144;"Kebahagiaan, berkah, kesuksesan; Makanan, kekayaan, dll.";"Happiness , blessing , success ; Food , wealth , etc.";"Glück, Segen, Erfolg; Nahrung, Reichtum usw";eaʔãkũ;15_1685958020;a;12;5
145;Spesies ikan;Fish species;Fischart;eʔakũmẽ;15_1685958088;a;12;6
146;Kemarilah;Come hereǃ;komm herǃ;aleʔe;15_1685971042;a;12;7
147;lima;five;fünf;ʔaliba;15_1685971159;a;12;8
148;anda (nominatif jamak) , Anda (akusatif jamak , datif jamak);you (nom pl) , you (acc pl , dat pl);ihr, euch;aliu;15_1685971240;a;12;9
149;dua;two;zwei;ʔalua;15_1685971292;a;12;10
150;jenis lagu;type of song;Liedart;ealuhe;15_1685971386;a;12;11
151;ayah , ayah mertua;father , father-in-law;Vater, Schwiegervater;amã;15_1685971854;a;12;12
152;pergi (bentuk tunggal);go (sg);geheǃ;amãã;15_1685972374;a;12;13
154;dada (pria);chest (of men);Brust (von Männern);eamaha;15_1685973249;a;12;15
155;kuburan;grave;Grab;eamãhã;15_1685973402;a;12;16
156;pra-pengunyahan;the pre-chewing;das Vorkauen;eamai;15_1685973499;a;12;17
157;Warisan (ayah);The (paternal) legacy;das (väterliche) Erbe;eamãĩñã;15_1685973579;a;12;18
158;Tebu;Sugar cane;Zuckerrohr;eamã:ĩñõ;15_1685974310;a;13;1
159;(tempat) asal, asal-usul;(place of) origin , the coming-from;Herkunft(sort), Herkommen;eamãmãĩã;15_1685974417;a;13;2
160;menjalar dengan bunga putih;creeper with white blossoms;Schlingpflanze mit weißen Blüten;eʔamãnə̃ʔã;15_1685974533;a;13;3
161;Kerang raksasa (Tridacna);Giant shell (Tridacna);Riesenmuschel (Tridacna);e[ʔ]amẽẽ;15_1685974860;a;13;4
164;untuk tidur;to sleep;schlafen;ãmĩ;15_1685975674;a;13;7
170;Anak perempuan (hingga usia sekitar 8 tahun);Girl (up to about 8 years old);Mädchen (bis etwa 8 Jahre alt);amĩmĩ;15_1685976809;a;13;13
171;kelahiran;birth;Geburt;eamõ;15_1685976845;a;13;14
172;Meskipun , meskipun;Although , although;obwohl, obgleich;amũʔã:ĩnãmũ;15_1686533275;a;14;1
173;"besar, dewasa; sangat";"big , grown up ; very";"groß, erwachsen; sehr";ʔamũhõ;15_1686533804;a;14;2
174;Jenis bambu;Bamboo type;Bambusart;eamũnĩ́ãũ;15_1686533897;a;14;3
175;"mereka (demonstratif, orang kedua tunggal/jamak maskulin/feminin) ; kemudian , setelah itu";"those (demonstrative , 2nd pers sg/pl m/f) ; then , thereafter";"jene(r/s); dann, darauf";ʔana;15_1686534160;a;14;4
176;"(jarang digunakan) bahwa (demonstratif orang kedua tunggal nominal) ; jadi";"(rarely) that (demonstrative 2nd pers sg n) ; so";"(selten) jenes; so";[ʔ]anãã;15_1686534231;a;14;5
177;Tinggal sementara;The temporary stay;der zeitweilige Aufenthalt;eʔanãhẽãhã;15_1686534423;a;14;6
178;Pos larangan (ini adalah dua pos yang bersilangan);Prohibition posts (these are two crossed posts);Verbotspfähle (das sind zwei gekreuzte Pfähle);eʔana:iʔia;15_1686534552;a;14;7
179;Medan perang, yaitu bekas komunitas desa yang terdiri dari setidaknya dua klan yang berbeda;Battleplace , that was the former village community that consisted of members of at least two different clans;Schlachtplatz, das war die frühere Dorfgemeinschaft, die aus Angehörigen von mindestens zwei verschiedenen Clans bestand;eanã́:ĩ́ʔĩã;15_1686535085;a;14;8
181;barisan pohon di pantai;the tree line at the beach;die Waldgrenze am Strand;eʔanãpũã;15_1686535451;a;14;10
182;Padang rumput, area berumput;Meadow , grassy area;Wiese, Grasfläche;eanẽhã;15_1686535594;a;14;11
183;bergegas, alang-alang;rushes , reeds;Binsen, Schilf;e[ʔ]anẽkã;15_1686535910;a;14;12
184;Nama laki-laki;Male name;Männername;Anẽkṹʔũã;15_1686535962;a;14;13
185;utara;north;Norden;eʔanə̃́ʔə̃ã;15_1686536090;a;14;14
186;(bintang saat terbenam) hampir menghilang;(stars when setting) having almost disappeared;(Gestirne beim Untergehen) beinahe verschwunden sein;anə̃nə̃ã;15_1686536274;a;14;15
190;Pekerjaan, aktivitas, tugas;Work , activity , task;Arbeit, Tätigkeit, Aufgabe;eʔanĩxã:ĩyõ;15_1686537744;a;15;4
191;begitu dan begitu banyak;so and so many;soundsoviele;anĩʔĩ;15_1686537829;a;15;5
192;Jenis pandan;Pandanus type;Pandanusart;eʔanĩmãẽ;15_1686537974;a;15;6
194;"Yang mana (maskulin, feminin, netral) ; orang yang , yang mana , dll.";"Which (m ,f ,n)? ; the one who , that which , etc.";"welche(r/s)?; derjenige, welche, das, was usw";anĩõ;15_1686538341;a;15;8
195;anda (jamak, nominatif/akusatif/datif);you (pl , nom/acc/dat);ihr, euch;aniu;15_1686538381;a;15;9
196;dua;two;zwei;ʔanõ -;15_1686541074;a;15;10
197;berapa banyak, berapa banyak?;how much , how many?;wieviel(e) ?;ʔanõ;8_1685499905;a;16;1
198;Teman, teman;Friend , companion;Freund, Gefährte;ʔãnõ;8_1685500597;a;16;2
199;ular (kecil);(small) snake;(kleine) Schlange;eʔanṍãẽ;8_1685500752;a;16;3
200;Penyimpanan;Storage;das Aufbewahren;eanõnẽ·hẽ:ĩ;8_1685500846;a;16;4
201;bagaimana (terstruktur)? (BB: yaitu, bagaimana sifatnya, seperti apa?) (dalam pertanyaan tidak langsung);how (structured)? (BB: i.e. what is its nature , what's it like?) (in indirect questions;wie (beschaffen)? (in indirekten Fragen);anõnõ;8_1685500935;a;16;5
202;Ular sungai;River snake;Flußschlange;eanõnṍũ;8_1685501131;a;16;6
203;Nama sebuah sungai;Name of a river;Name eines Flusses;Anṍʔõẽ;8_1685501265;a;16;7
205;laut lepas, tengah laut;high sea , middle of the sea;hohe See, Mitte des Meeres;eʔanũʔã;8_1685501440;a;16;9
208;Jenis pandan;Pandanus type;Pandanusart;eãnũmãẽ;8_1685501765;a;17;1
219;empat;four;vier;ʔáopa;8_1685505151;a;18;6
224;Ikan sungai;River fish;Flußfisch;eʔapá:ehea;8_1686020249;a;18;11
226;Ikan sungai;River fish;Flußfisch;eʔapáhea;8_1686020430;a;18;13
227;Bagian atas;The top;die Oberseite;eapaua;8_1686020574;a;18;14
228;jika , jika , apakah;if , if , whether;wenn, falls, ob;ape;8_1686022762;a;19;1
229;Ichthyosis, penyakit sisik ikan;Ichthyosis , fish scale disease;Ichthyosis, Fischschuppenkrankheit;eʔapeʔe:iyo;8_1686023027;a;19;2
230;bintang;star;Stern;eʔaperúa:u;8_1686024192;a;19;3
231;"berapa banyak; berapa banyak";"how much ; how many";wieviel(e) ?;ʔapiaha;8_1686024516;a;19;4
233;"Tangan; cadik";"Hand ; boom";"Hand; Ausleger";eʔapo;8_1686025588;a;19;6
234;Kegelapan;Darkness;Dunkelheit;eapõõ udopo;8_1686025661;a;19;7
235;Cacing, belatung, ulat;Worm , maggot , caterpillar;Wurm, Made, Raupe;eãpõ;8_1686025707;a;19;8
237;Nama laki-laki;Male name;Männername;ʔApoʔiapo;8_1686025807;a;19;10
238;Akar (tanaman);Root (of a plant);Wurzel (einer Pflanze);eãpũ;8_1686025977;a;19;11
239;ular piton;python;Pythonschlange;eapũʔũ;8_1686026164;a;20;1
240;Tulang bahu;Shoulder bone;Schulterknochen;eʔapṹʔũĩ;8_1686026325;a;20;2
242;Tempat di pulau;Place on the island;Ort auf der Insel;Apuʔuíxi;8_1686026370;a;20;3
243;pakis;fern;Farn;earada:əʔa;8_1686034813;a;20;3
244;"anak (biologis), menantu; bertelur, telur ikan, telur";"(biological) child , son-in-law ; spawn , fish eggs , egg";"(leibliches) Kind, Schwiegersohn; Laich, Fischeier, Ei";eara;8_1686027184;a;20;4
247;Kerusakan;Damage;Beschädigung;earapikia;8_1686035077;a;20;5
248;Nama laki-laki;Male name;Männername;Arauadi;8_1686035112;a;20;6
249;Kemarilah;Come hereǃ;komm hierherǃ;areʔe;8_1686035200;a;20;7
250;lima;five;fünf;ʔariba;8_1686036067;a;20;8
251;Yaws (penyakit kulit tropis seperti sifilis);Yaws (syphilis-like tropical skin disease);Frambösie (syphilisähnliche tropische Hautkrankheit);earaʔakoa;8_1686034680;a;21;1
252;anda (nominatif, bentuk jamak) , Anda (akusatif/datif, bentuk jamak);you (nom. pl) , you (acc/dat pl);ihr, euch;ariu;8_1686036182;a;21;9
253;dua (di depan kata bantu bilangan/numeralia);two (in front of auxiliary counting words);zwei (vor Hilfszählwörtern);ʔaro-;8_1686036716;a;21;10
254;tempat keberangkatan (kapal, dll.);the place of departure (of boats , etc.);der Auslaufensort (von Booten usw);earoaʔa:o·a;17_1685255689;a;22;1
255;harta bergerak dari almarhum (laki-laki/perempuan);movable property of a deceased (m/f);beweglicher Besitz einer(s) Verstorbenen;eʔarobúka;17_1685255803;a;22;2
256;bangkai;carrion;Aas;earóʔoa;17_1685255840;a;22;3
257;Ketiak;Armpit;Achselhöhle;eʔaroʔopa;17_1685255960;a;22;4
258;anda (nominatif, bentuk jamak) , Anda (akusatif/datif, bentuk jamak);you (nom. pl) , you (acc/dat pl);ihr, euch;arúú;17_1685256241;a;22;5
259;dua;two;zwei;ʔarua;17_1685256693;a;22;6
260;Spesies pohon (yang menjadi nama marga Kaʔarubi);Species of tree (after which the Kaʔarubi clan is named);Baumart (nach der die Sippe Kaʔarubi benannt ist;eʔarubi;17_1685257071;a;22;7
262;Spesies pohon;Tree species;Baumart;earukeo;17_1685258908;a;22;9
263;nasi yang sudah dikupas;peeled rice;geschälter Reis;earukixo;17_1685259499;a;22;10
264;Tempat di pantai barat pulau;Place on the west coast of the island;Ort an der Westküste der Insel;Aruku;17_1685259558;a;22;11
265;"pembukaan lahan di hutan; daerah berumput, padang rumput";"clearing in the forest ; grassy area , meadow";"Lichtung im Wald; Grasfläche, Wiese";eʔaruku;17_1685259906;a;22;12
266;pelat tembaga impor yang digunakan untuk menutupi bagian luar kapal Inggris;imported copper plates used to cover the outsides of Engganese boats;importierte Kupferplatten, mit denen die Außenseiten der engganesischen Boote bedeckt wurden;earukua;17_1685262563;a;22;13
267;Ketiak;Armpit;Achselhöhle;eʔarupa;17_1685262658;a;22;14
271;Spesies pohon;Tree species;Baumart;eʔauaʔa;17_1685263303;a;22;18
273;pergi!;go!;gehǃ;auaha;17_1685263444;a;22;20
274;Spesies ikan;Fish species;Fischart;eaudaha:iya;17_1685278815;a;23;1
276;ikan laut;sea ​​fish;Seefisch;eʔauíka;17_1685279350;a;23;3
277;Spesies tanaman;Plant species;Pflanzenart;eʔa:uka;17_1685279410;a;23;4
278;ikan laut;sea ​​fish;Seefisch;eʔã:ũnõ;17_1685279543;a;23;5
279;pengaturan keluar, untuk berangkat;the setting out , to set off;das Aufbrechen, sich auf den Weg machen;eʔaupaka;17_1685279660;a;23;6
280;jika , dalam kasus;if , in case;wenn, falls;aupe a-;17_1685279741;a;23;7
282;"(""orang/benda yang berkeliaran"" =) anjing";"""the (person/thing) loitering about"" =) dog";"(""der sich Herumtreibende"" =) Hund";eʔayedi;17_1685280199;a;23;9
283;ikuti! (BB: aturan atau perintah, bukan orang atau benda);follow! (BB: a rule or command , not a person or object);befolgeǃ;ayõ;17_1685280313;a;23;10
284;ikuti! (BB: aturan atau perintah, bukan orang atau benda);follow! (BB: a rule or command , not a person or object);befolgeǃ;ayoʔói;17_1685280680;a;23;11
285;"Hujan, air; Sungai / Aliran";"Rain , water ; River/Flow";"Regen, Wasser; Fluß";eboo;11_1686798424;a;28;10
286;"sering kali setara dengan m ; Kata yang berawalan p dapat dimulai dengan b- atau m- dengan prenasalisasi";"often equivalent to m ; Word stems with p can start with b- or m- by prenasalization";"häufig gleichwertig mit m ; Wortstämme mit pkönnen durch Pränasalierung mit b- oder m- anlauten";b;17_1685280858;b;23;1
287;Awalan/prefiks verbal;Verbal prefix;Verbalpräfix;b-;17_1685280977;b;23;2
288;(BB: partikel modal yang mengintensifkan) (akhiran/sufiks yang memberi penekanan);(BB: intensifying modal particle) (emphasis suffix);doch (Hervorhebungssuffix);-baʔa;17_1685281093;b;23;3
289;Spesies merpati liar kecil;Small wild pigeon species;Kleine Wildtaubenart;ebaʔadíto;17_1685281341;b;23;4
290;buah jambu;jambu fruit;Jambufrucht;ebaʔa:ue;11_1686192347;b;24;1
291;Salam untuk orang Tionghoa;Salutation to Chinese;Anrede an Chinesen;bába;11_1686192394;b;24;2
292;Batate, Ubi;Batate , Yams;Batate, Yams;ebaba;11_1686192493;b;24;3
294;Spesies pohon;Tree species;Baumart;ebadabá:ua;11_1686192615;b;24;5
295;melati;jasmine;Jasmin;ebadatía;11_1686192695;b;24;6
297;Cangkul taman;Garden hoe;Gartenhacke;ebadíu;11_1686192821;b;24;8
298;Liana;Liana;Liane;ebaə;11_1686192948;b;24;9
300;juga;also;auch;-baha;11_1686193024;b;24;11
304;"Jantung (sebagai otot); Pikiran";"Heart (as a muscle) ; Thought";"Herz (als Muskel); Gedanke";ebáha:u;11_1686193788;b;24;15
305;Nama laki-laki;Male name;Männername;Baheʔuʔu;11_1686193812;b;24;16
306;gabus (dari botol);cork (of a bottle);Korken (einer Flasche);ebahudobi;11_1686193916;b;24;17
307;Badai, badai;Hurricane , storm;Orkan, Sturm;eba:iʔiodəha;11_1686193947;b;24;18
309;"mata, wajah, depan; Hal utama; Jalur; Biji-bijian (kata bantu bilangan/numeralia untuk buah)";"eye , face , front ; Main thing ; Fairway ; Grain (auxiliary count word for fruit)";"Auge, Gesicht, Vorderseite; Hauptsache; Fahrrinne; Korn (Hilfszählwort für Früchte)";ebaka;11_1686194592;b;25;1
311;Jaring Babi, Panjang Jaring Babi = dua belas depa (kata bantu bilangan/numeralia);Pig Net , Pig Net Length = twelve fathoms (auxiliary count word);Schweinenetz, Schweinenetz-Länge = zwölf Klafter (Hilfszählwort);ebakao;11_1686194928;b;25;3
312;bagian , area (kata bantu bilangan/numeralia untuk penanaman, dll.);Piece , area (auxiliary counter word for plantings , etc.);Stück, Gebiet (Hilfszählwort bei Pflanzungen usw);ebakua;11_1686195157;b;25;4
313;Umbi;Tuber;Knollenfrucht;ebao;11_1686195257;b;25;5
317;Bawang;Onion;Zwiebel;ebawaa;11_1686793784;b;26;4
318;Jaket;Jacket;Jacke;ebayuu;11_1686793829;b;26;5
319;karena, untuk;because , for;weil, denn;be;11_1686793906;b;26;6
320;Jus, cairan;Juice , liquid;Saft, Flüssigkeit;ebee;11_1686794155;b;26;7
321;bebek;duck;Ente;ebebee;11_1686794193;b;26;8
322;Putih, Eropa;White , European;Weißer, Europäer;ebedi;11_1686794266;b;26;9
323;talas;taro;Taro;bedibedi;11_1686794321;b;26;10
326;Sungai, muara sungai;River , river mouth;Fluß, Flußmündung;ebedoa;11_1686794816;b;26;13
327;perahu;boat;Boot;ebeduʔu;11_1686795018;b;26;14
332;Anjing;Dog;Hund;ebeo;11_1686795834;b;27;3
334;besi;iron;Eisen;ebetii;11_1686795999;b;27;5
335;Sebuah tempat yang dulunya berada di pesisir timur laut Enggano dekat dengan Malakõnĩ saat ini;A former place on the northeast coast of Enggano near today's Malakõnĩ;ein ehemaliger Ort an der Nordostküste von Enggano nahe dem heutigen Malakõnĩ;Beʔuʔua;11_1686796068;b;27;6
338;Spesies pohon;Tree species;Baumart;ebədə́aha:u;11_1686796248;b;27;9
342;Paha;Thigh;Oberschenkel;ebici;11_1686797816;b;28;2
343;Penyakit beri-beri;Beriberi disease;Beriberi-Krankheit;ebidibidii;11_1686797859;b;28;3
344;Kamar;Room;Zimmer;ebidiʔi;11_1686797892;b;28;4
345;Tawon , lebah;Wasp , bee;Wespe, Biene;ebixu;11_1686797933;b;28;5
348;Bagian , petak (bunga/sayuran) , sektor (kata bantu bilangan/numeralia untuk penanaman);Section , (flower/vegetable)bed , sector (auxiliary count word for plantings);Abschnitt, Beet, Sektor (Hilfszählwort bei Pflanzungen);ebita;11_1686798193;b;28;8
349;Cacing kayu;Woodworm;Holzwurm;ebiu;11_1686798242;b;28;9
350;Jenis labu;Pumpkin type;Kürbisart;eboʔaboʔa;11_1686798499;b;28;11
351;paru-paru;lung;Lunge;ebobo;11_1686798526;b;28;12
353;Pertarungan, perang;Fight , war;Kampf, Krieg;epabodikii;11_1686798624;b;28;14
354;perahu;boat;Boot;ebodohá:ua;17_1687267686;b;29;1
355;Materi/Benda/Objek/Persoalan;Matter/Thing/Object/Issue;Sache;ebodu;17_1687267829;b;29;2
356;Lembing, tombak;Speer , lance;Speer, Lanze;ebohe;17_1687267982;b;29;3
358;Tali busur (dari kulit pohon);Bowstring (of bast);Sehne des Bogens (aus Bast);eboho:iyo;17_1687268517;b;29;5
359;Tali, tali;The rope , the rope;das Tau, der Strick;ebohoyo;17_1687268565;b;29;6
362;Babi rumah (spesies besar);House pig (big species);Hausschwein (große Art);ebóʔoa;17_1687269204;b;29;9
364;meledak;explode;explodieren;boʔoki;17_1687269804;b;29;11
367;Awalan/prefiks verbal;Verbal prefix;Verbalpräfix;bu-;17_1687352238;b;30;3
