ID;ex_crossref_EN;ex_crossref_EN_edited;ex_crossref_IDN;ex_crossref_IDN_edited
426;§ 35f;;§ 35f;
429;126z8;;126z8;
430;107z12;;107z12;
440;Vz30;;Vz30;
446;"IIIz32 ; VIIz2";;"IIIz32; VIIz2";
456;H16 èahaoedohoie 'to wash one's face and head';;H16 èahaoedohoie 'mencuci muka dan kepala';
466;"104z20-25 ; MOD figure 44 on page 235 ; eulucawáhe";;"104z20-25 ; MOD gambar 44 pada halaman 235 ; eulucawáhe";
472;G1;;G1;
487;G37;;G37;
507;125z11;;125z11;
515;105z17;;105z17;
516;106z34;;106z34;
517;"132z15: ; 132z22:";"132z15: Younger sister ; 132z22: deceased (!) Younger brother";"132z15:; 132z22:";"132z15: Adik perempuan ; 132z22: almarhum (!) adik laki-laki"
522;108z6;;108z6;
523;see edaʔa-;;lihat edaʔa-;
524;§ 11b;;§ 11b;
525;§ 2c;;§ 2c;
530;§ 11b;;§ 11b;
544;G69;;G69;
558;110z15;;110z15;
560;G42;;G42;
568;§ 2a;;§ 2a;
573;MOD figure 27 on page 172;;MOD gambar 27 pada halaman 172;
588;90z26;;90z26;
589;VIIz37ff;;VIIz37ff;
591;VIIIz12;;VIIIz12;
592;VIIIz14;;VIIIz14;
610;VIIz34-36;;VIIz34-36;
623;G74;;G74;
633;G33;;G33;
637;see kabəaʔa to hatch;see kabəaʔa ‘to hatch’;melihat kabəaʔa menetas;lihat kabəaʔa ‘menetas’
645;G74;;G74;
651;111z17;;111z17;
653;§ 10a;;§ 10a;
659;but H16 èkaboeäjo 'small casting net used in sea fishing';;tetapi H16 èkaboeäjo 'jaring tuang kecil yang digunakan untuk menangkap ikan di laut';tetapi H16 èkaboeäjo 'jaring tebar kecil yang digunakan untuk menangkap ikan di laut'
664;see narrative XIII-XV;;lihat narasi XIII-XV;lihat teks naratif XIII-XV
669;see euba;;lihat euba;
673;G71;;G71;
679;H16 karorie(j)e 'landscape , district';;H16 karorie(j)e 'lanskap , distrik';H16 karorie(j)e 'bentang alam/pemandangan , distrik'
680;MOD table VIII on page 113;;Tabel MOD VIII pada halaman 113;MOD tabel VIII pada halaman 113
690;70z4f;;70z4f;
696;XIz16;;XIz16;
697;127z29;;127z29;
704;§ 42b;;§ 42b;
710;cf. ekə́həa ekahaha male sea turtle;cf. ekə́həa ekahaha ‘male sea turtle’;lih. ekə́həa ekahaha penyu jantan;lih. ekə́həa ekahaha ‘penyu jantan’
711;§ 32b;;§ 32b;
719;G20;;G20;
722;see H88:280f über èkowèk ijakafita;;lihat H88:280f tentang èkowèk ijakafita;
723;VIIIz20;;VIIIz20;
748;92z13 , 104z13f;;92z13, 104z13f;
753;"see IXz23-26 ; H16 èkarieha oe(w)apo 'bracelet , made (?) of glass corals or akar bahar' ; MOD:219 coriáha uápo 'black coral headbands worn on the arm'";;"lihat IXz23-26; H16 èkarieha oe(w)apo 'gelang, terbuat (?) dari karang kaca atau akar bahar'; MOD:219 coriáha uápo 'ikat kepala dari karang hitam yang dipakai di lengan'";"lihat IXz23-26 ; H16 èkarieha oe(w)apo 'gelang, terbuat (?) dari karang kaca atau akar bahar' ; MOD:219 coriáha uápo 'ikat kepala dari karang hitam yang dipakai di lengan'"
754;"111z24 ; see kanĩnõnõ";;"111z24; lihat kanĩnõnõ";"111z24 ; lihat kanĩnõnõ"
775;DEC 3o12 kipo-kipo. kifo-kifo 'Spontaneous sugar L';;DES 3o12 kipo-kipo. kifo-kifo 'Gula spontan L';DEC 3o12 kipo-kipo. kifo-kifo 'Gula spontan L'
776;MOD figure 46 on page 241 and table XXI one page 239;MOD figure 46 on page 241 and table XXI on page 239;MOD gambar 46 pada halaman 241 dan tabel XXI satu halaman 239;MOD gambar 46 pada halaman 241 dan tabel XXI pada halaman 239
778;89z14;;89z14;
805;cf. kaʔakũkã 'permanent';;bdk. kaʔakũkã 'permanen';
811;§ 29b;;§ 29b;
816;130z18;;130z18;
824;"H16 kiepaka 'pale in complexion' ; see ekerehapaka ukuo";;"H16 kiepaka 'kulitnya pucat' ; lihat ekerehapaka ukuo";
832;112z29;;112z29;
840;"XIIz19f: Heavy stones attached to a rotary rope served as anchors ; see in addition MOD 153 epácu , 156-160 , figure 16-23 ; Figure in Rosenberg 1855:209 and Marschall 1982:30 ; Keuning 177: women's caps , small wooden cylinders depicting a curiously stylised human figure (MOD:Hund!) in a crouching or crawling position. It was worn on the head during the agricultural ritual at the women's dance , decorated with raised feathers. Such caps were found in Indonesia only on Enggano.";"XIIz19f: Heavy stones attached to a rotary rope served as anchors ; see in addition MOD 153 epácu , 156-160 , figure 16-23 ; Figure in Rosenberg 1855:209 and Marschall 1982:30 ; Keuning 177: women's caps , small wooden cylinders depicting a curiously stylised human figure (MOD: dog!) in a crouching or crawling position. It was worn on the head during the agricultural ritual at the women's dance , decorated with raised feathers. Such caps were found in Indonesia only on Enggano.";"XIIz19f: Batu-batu berat yang diikatkan pada tali yang berputar berfungsi sebagai jangkar; lihat juga MOD 153 epácu, 156-160, gambar 16-23; Gambar dalam Rosenberg 1855:209 dan Marschall 1982:30; Keuning 177: topi wanita, silinder kayu kecil yang menggambarkan sosok manusia bergaya aneh (MOD: Hund!) dalam posisi jongkok atau merangkak. Topi ini dikenakan di kepala selama ritual pertanian pada tarian wanita, dihiasi bulu-bulu yang ditinggikan. Topi semacam itu hanya ditemukan di Indonesia di Enggano.";"XIIz19f: Batu-batu berat yang diikatkan pada tali yang berputar berfungsi sebagai jangkar ; lihat juga MOD 153 epácu, 156-160, gambar 16-23 ; Gambar dalam Rosenberg 1855:209 dan Marschall 1982:30 ; Keuning 177: topi wanita, silinder kayu kecil yang menggambarkan sosok manusia bergaya aneh (MOD: anjing!) dalam posisi jongkok atau merangkak. Topi ini dikenakan di kepala selama ritual pertanian pada tarian wanita, dihiasi bulu-bulu yang ditinggikan. Topi semacam itu hanya ditemukan di Indonesia di Enggano."
853;see also H16 panako , panakona;;lihat juga H16 panako , panakona;
862;§ 52c.13;;§ 52c.13;
865;87z23;;87z23;
866;90z2;;90z2;
868;see Vz32;;lihat Vz32;
913;§ 2c;;§ 2c;
914;"132z11 ; 145z34";;"132z11; 145z34";"132z11 ; 145z34"
921;"H88 èadoea ; ML bambu auer";;"H88 èadoea; ML bambu auer";"H88 èadoea ; ML bambu auer"
922;"H88 mohoi ; ML bambu telang";;"H88 mohoi ; ML bambu telang";
927;see iya;;lihat ya;lihat iya
945;G68;;G68;
958;see eahaʔado 'the answer(s)';;lihat eahaʔado 'jawabannya';
972;see adoo , doo;;lihat adoo, doo;
976;see aruhe;;lihat aruhe;
980;cf. kiʔituhaʔa 'to accuse someone';;bdk. kiʔituhaʔa 'menuduh seseorang';
982;§ 23b;;§ 23b;
987;"18z6 ; cf. kəkədai";;"18z6; bdk. kəkədai";"18z6 ; bdk. kəkədai"
989;G5;;G5;
1008;105z27;;105z27;
1016;H16 èdiehie(j)oq 'old brushwood';;H16 èdiehie(j)oq 'semak belukar tua';
1022;"see kiparixoʔiaʔa 'Knead clay' ; cf. tixoi 'wrap' ; < dixoʔi ?";;"lihat kiparixoʔiaʔa 'uleni tanah liat' ; bdk. tixoi 'bungkus' ; < dixoʔi ?";
1025;see kiparixopi 'slow down';;lihat kiparixopi 'memperlambat';
1026;133z27;;133z27;
1032;G67;;G67;
1040;Compare;Comparison;Bandingkan;Perbandingan
1042;G72;;G72;
1046;123z24: Punishment , penance;;123z24: Hukuman, penebusan dosa;
1047;123z13;;123z13;
1053;G33;;G33;
1055;VIz2;;VIz2;
1057;21z12+33;;21z12+33;
1062;137z19: govern;;137z19: mengatur;137z19: mengatur/mengelola/memerintah
1065;XIIz20f: Rudders were unknown;;XIIz20f: Kemudi tidak diketahui;
1076;G65;;G65;
1077;H16 dödöhöka 'inheritence';;H16 dödöhöka 'warisan';
1083;G68;;G68;
1085;G69;;G69;
1087;"§ 29b ; cf. pamãhã:ũmã";;"§ 29b; bdk. pamãhã:ũmã";"§ 29b ; bdk. pamãhã:ũmã"
1091;105z32;;105z32;
1102;G73;;G73;
1103;G51;;G51;
1104;G51;;G51;
1105;MOD figure 11;;MOD gambar 11;
1112;§ 52a;;§ 52a;
1118;127z30: Place;;127z30: Tempat;
1125;DEC epiah epok = efia efok 'ML santan';;DEC epiah epok = efia efok 'ML santan';
1127;130z27;;130z27;
1128;cf. pudika;;cf. pudika;bdk. pudika
1129;G30;;G30;
1130;"cf. MOD 127 ehabédo 'exorcism , also healer , necromancer' ; and eahaba·əda 'Education , but also conjuring up the sick'";;"bdk. MOD 127 ehabédo 'pengusiran setan, juga penyembuh, ahli nujum'; dan eahaba-əda 'Pendidikan, tapi juga menyihir orang sakit'";
1131;cf. kamẽmẽhẽnã 'to mock';;bdk. kamẽmẽhẽnã 'mengejek';
1132;112z8;;112z8;
1134;G8;;G8;
1138;126z32 and 34;;126z32 dan 34;
1140;§ 64b;;§ 64b;
1144;see abə́ha;;lihat abə́ha;
1146;§ 60a;;§ 60a;
1156;126z13;;126z13;
1157;126z12f;;126z12f;
1158;"125z12: ; 86z3f ; 125z16:";"125z12: to harbor enmity ; 86z3f , 125z16: his enemies , his opponents";"125z12:; 86z3f; 125z16:";"125z12: memendam permusuhan ; 86z3f , 125z16: musuh-musuhnya , lawan-lawannya"
1159;85z27;;85z27;
1160;125z12f;;125z12f;
1164;cf. § 52c;;bdk. § 52c;
1168;112z28;;112z28;
1169;112z34;;112z34;
1170;see poke;;lihat sodokan;lihat poke
1177;G72;;G72;
1187;IVz12;;IVz12;
1190;106z7;;106z7;
1196;§ 52c;;§ 52c;
1228;see ʔãʔõ;;lihat ʔãʔõ;
1238;IVz13;;IVz13;
1247;IVz13;;IVz13;
1254;G42:;G43: to ambush;G42:;G42: menyergap
1262;H16 èie (j)oõboõie 'large casting net used in sea fishing';;H16 èie (j)oõboõie 'jaring besar yang digunakan untuk menangkap ikan di laut';
1267;109z28;;109z28;
1311;"H16 kiedieopè 'house' ; èkadieopè 'the family reception room'";;"H16 kiedieopè 'rumah' ; èkadieopè 'ruang tamu keluarga'";
1317;H16 opèkaäq 'strangle';;H16 opèkaäq 'mencekik';
1324;H16 paopèkie(j)aq 'fold';;H16 paopèkie(j)aq 'lipat';
1325;"86z16 ; 122z32f , 134z33f ; 124z3 ; 123z19 ; 104z34f: This is the penance/fine that a violator of prohibitive regulations pays to the widow for whose sake the prohibitions were issued.";;"86z16 ; 122z32f , 134z33f ; 124z3 ; 123z19 ; 104z34f: Ini adalah penebusan dosa/denda yang harus dibayarkan oleh pelanggar peraturan yang melarang kepada janda yang demi kepentingannya peraturan itu dikeluarkan.";
1332;124z3;;124z3;
1334;123z19;;123z19;
1335;G8;;G8;
1338;125z22: Rejection;;125z22: Penolakan;
1340;131z16;;131z16;
1350;and the like;;dan sejenisnya;
1351;and the like;;dan sejenisnya;
1352;and the like;;dan sejenisnya;
1359;90z1;;90z1;
1365;Vz32;;Vz32;
1383;87z7;;87z7;
1384;§ 2a;;§ 2a;
1386;§ 34d;;§ 34d;
1394;G69: pidá:uʔuo;;G69: pidá: uʔuo;G69: pidá:uʔuo
1396;MOD bacòcu parihopi 'to go on tiptoe';;MOD bacòcu parihopi 'berjinjit';
1399;IVz16;;IVz16;
1400;§ 26b;;§ 26b;
1401;§29b;;§29b;
1402;112z26;;112z26;
1403;G69;;G69;
1404;130z34;;130z34;
1420;§ H16 pakahopa 'to embrace , to hold in one's arms';;§ H16 pakahopa 'merangkul, memeluk';
1436;"cf. edakaixa 'miscarriage' ; kamãẽkã 'defecate'";;"bdk. edakaixa 'keguguran' ; kamãẽkã 'buang air besar'";
1448;VIIIz3f;;VIIIz3f;
1449;VIIIz3f;;VIIIz3f;
1450;VIIIz3f;;VIIIz3f;
1451;VIIIz16;;VIIIz16;
1454;§ 33;;§ 33;
1476;see ka[do]dio;;lihat ka[do]dio;
1485;133z31;;133z31;
1511;"see narrative XIII-XV ; eakadea ubaba kibaka 'the festival of (ML) birah , because they are eaten at this festival' ; H88:302 kalèak baba 'The festival is ... celebrated if the bira harvest has been plentiful and consists only of preparing a meal' ; MOD figure XVII on page 197";;"lihat narasi XIII-XV; eakadea ubaba kibaka 'festival (ML) birah, karena mereka dimakan pada festival ini'; H88:302 kalèak baba 'Festival ini ... dirayakan jika panen bira telah melimpah dan hanya terdiri dari menyiapkan makanan'; MOD gambar XVII di halaman 197";"lihat teks naratif XIII-XV; eakadea ubaba kibaka 'festival (ML) birah, karena mereka dimakan pada festival ini' ; H88:302 kalèak baba 'Festival ini ... dirayakan jika panen bira telah melimpah dan hanya terdiri dari menyiapkan makanan' ; MOD gambar XVII di halaman 197"
1529;see epakẽnẽ , and the like;;lihat epakẽnẽ , dan sejenisnya;
1531;89z35;;89z35;
1542;"see kanãĩñã ; 105z8";;"lihat kanãĩñã; 105z8";"lihat kanãĩñã ; 105z8"
1553;111z26;;111z26;
1554;111z24;;111z24;
1572;106z38;;106z38;
1576;G69;;G69;
1583;108z38;;108z38;
1604;110z19 , 24;;110z19 , 24;
1615;G25;;G25;
1622;VIIIz19;;VIIIz19;
1627;123z11: epəahao;;123z11: epəahao;
1632;§ 53f;;§ 53f;
1634;IVz11;;IVz11;
1635;123z11: Appearance;;123z11: Penampilan;
1644;133z37;;133z37;
1655;137z6;;137z6;
1668;89z34f eʔapəʔaka ukitai;;89z34f eʔapəʔaka ukitai;
1672;G50;;G50;
1676;90z25;;90z25;
1688;110z35;;110z35;
1691;cf. kahãpĩ 'to want , to desire';;bdk. kahãpĩ 'menginginkan , menginginkan';bdk. kahãpĩ 'mau , menginginkan'
1693;106z23;;106z23;
1697;cf. padi¹;;cf. padi¹;bdk. padi¹
1706;105z23;;105z23;
1711;§ 32c;;§ 32c;
1738;IVz15;;IVz15;
1739;112z18: 'happiness';;112z18: 'kebahagiaan';
1742;IVz15;;IVz15;
1747;129z31;;129z31;
1751;see dahəa , rahəa , rəahi;;lihat dahəa , rahəa , rəahi;
1754;129z13 and 19;;129z13 dan 19;
1756;129z9;;129z9;
1774;G63;;G63;
1775;§ 29b;;§ 29b;
1777;G28;;G28;
1783;G55;;G55;
1787;87z7;;87z7;
1788;112z27;;112z27;
1793;G69;;G69;
1806;G74;;G74;
1808;cf. kaʔa·pa·dabəʔa 'moist';;lih. kaʔa-pa-dabəʔa 'lembab';
1826;133z35: to share;;133z35: untuk berbagi;133z35: berbagi
1829;"123z16: atonement ; chisel";;"123z16: penebusan; pahat";"123z16: penebusan ; pahat"
1830;G74;;G74;
1846;§ 50;;§ 50;
1847;G69;;G69;
1857;"Vz31: alternate expression for kaʔuda:ixo ; cf. ekahiabi and ekiʔuda:ix[i]o";;"Vz31: ekspresi alternatif untuk kaʔuda:ixo; lih. ekahiabi dan ekiʔuda:ix[i]o";
1867;VIz12;;VIz12;
1886;110z37;;110z37;
1889;125z5f and 8;;125z5f dan 8;
1891;"see hã:ĩkũ ; mãhĩkũã";;"lihat hã:ĩkũ ; mãhĩkũã";
1894;110z35;;110z35;
1903;§ 52a;;§ 52a;
1904;cf. § 52c;;bdk. § 52c;
1921;G69;;G69;
1925;"112z9 ; 112z5";;"112z9; 112z5";"112z9 ; 112z5"
1935;MOD figure 24 on page 166;;MOD gambar 24 pada halaman 166;
1937;cf. hibi 'to light';;bdk. hibi 'untuk menerangi';bdk. hibi 'menerangi'
1938;§ 23b;;§ 23b;
1939;§ 53e;;§ 53e;
1946;§ 44;;§ 44;
1948;110z10;;110z10;
1949;(the clan name Kaʔahəao possibly derived from this , VIIz28f);the clan name Kaʔahəao possibly derived from this , VIIz28f;nama marga Kaʔahəao mungkin berasal dari ini , VIIz28f;
1966;§ 64b;;§ 64b;
1983;106z13;;106z13;
2002;"detergent (such as soap or water ; 128z26: the washing)";;"deterjen (seperti sabun atau air; 128z26: pencucian)";"deterjen (seperti sabun atau air ; 128z26: pencucian)"
2010;25z5ff;;25z5ff;
2021;§ 35i;;§ 35i;
2031;§ 35i;;§ 35i;
2033;127z2;;127z2;
2034;83z14;;83z14;
2035;"84z12 ; cf. [ʔ]opaha:iã";;"84z12; bdk. [ʔ] opaha:iã";"84z12 ; bdk. [ʔ]opaha:iã"
2038;§ 36b;;§ 36b;
2055;"128z27: kaʔanũnũ ; G69: kianũnũ 'round'";;"128z27: kaʔanũnũ ; G69: kianũnũ 'bulat'";
2063;G21;;G21;
2070;16z9;;16z9;
2079;108z28;;108z28;
2105;127z14;;127z14;
2121;112z33;;112z33;
2122;112z27;;112z27;
2123;112z26;;112z26;
2138;G42: ehaʔobó:iya;;G42: ehaʔobó: iya;G42: ehaʔobó:iya
2139;G69;;G69;
2153;§ 30a;;§ 30a;
2156;90z14;;90z14;
2157;109z26;;109z26;
2160;G26;;G26;
2161;G67;;G67;
2164;§ 29a.8: came (2nd pers. sg);;§ 29a.8: datang (pers. ke-2 sg);§ 29a.8: datang (orang kedua tunggal)
2166;127z16;;127z16;
2167;127z25;;127z25;
2170;§ 27b;;§ 27b;
2171;"§ 28a ; § 29a ; § 30a";;"§ 28a ; § 29a ; § 30a";
2174;§ 29c;;§ 29c;
2177;"130z12 ; § 33";;"130z12 ; § 33";
2178;G36;;G36;
2180;G20;;G20;
2183;§ 33;;§ 33;
2212;cf. eukṹʔa;;lih. eukṹʔa;
2216;111z2;;111z2;
2230;"cf. kṍãhã:ĩ ; 21z33";;"bdk. kṍãhã:ĩ ; 21z33";
2235;see kõhõ[ʔ]ĩ;;lihat kõhõ [ʔ] ĩ;lihat kõhõ[ʔ]ĩ
2241;71z4ff;;71z4ff;
2242;71z8f;;71z8f;
2252;"13oz7 ; cf. epakuhei 'sail mast'";;"13oz7 ; bdk. epakuhei 'tiang layar'";
2263;112z28;;112z28;
2282;not mentioned in § 34;;tidak disebutkan dalam § 34;
2283;§ 26b;;§ 26b;
2303;"127z18-20 ; 139z29f";;"127z18-20; 139z29f";"127z18-20 ; 139z29f"
2305;106z9;;106z9;
2310;see kũkũũ;;lihat kũkũũ;
2319;cf. yanũkũ edopo 'the sun is high';;bdk. yanũkũ edopo 'matahari sudah tinggi';
2322;cf. ekũmaakũũ 'Demon';;bdk. ekũmaakũũ 'setan';
2326;105z10;;105z10;
2327;48z16;;48z16;
2339;90z17;;90z17;
2340;§ 30.9;;§ 30.9;
2341;G51;;G51;
2348;129z23;;129z23;
2355;G55;;G55;
2382;G56;;G56;
2394;106z35;;106z35;
2407;"G29 ; 69";;"G29 ; 69";
2408;G7;;G7;
2409;G72;;G72;
2424;cf. kipoi;;cf. kipoi;bdk. kipoi
2439;G51;;G51;
2466;G50: On the west coast of the island , not far from the beach on the coral bed , there is a cannon which , according to old natives , is said to have come from a ship that capsized a very long time ago. According to the natives , this cannon is said to roar once every ten years or so , as if it were being fired. This is said to herald the following of a period of illness and death.;;G50: Di pantai barat pulau, tidak jauh dari pantai di atas dasar karang, terdapat sebuah meriam yang menurut penduduk asli, konon berasal dari sebuah kapal yang terbalik di masa lampau. Menurut penduduk asli, meriam ini akan meraung setiap sepuluh tahun sekali, seolah-olah meriam tersebut sedang ditembakkan, dan konon merupakan pertanda akan datangnya penyakit dan kematian.;
2471;§ 52a;;§ 52a;
2482;§ 52a;;§ 52a;
2487;see ʔãʔãkõ;;lihat ʔãʔãkõ;
2493;§ 2c;;§ 2c;
2494;122z27;;122z27;
2495;§ 11b;;§ 11b;
2500;123z25;;123z25;
2506;88z25;;88z25;
2514;XIz15;;XIz15;
2517;cf. adi and the like;;cf. adi dan sejenisnya;bdk. adi dan sejenisnya
2518;cf. ehoku²;;cf. ehoku²;bdk. ehoku²
2519;G60;;G60;
2528;112z12;;112z12;
2531;"H88 anekahwa 'rumput sianik' ; DEC 77 anekahwa 'Ageratum conyzoides'";;"H88 anekahwa 'rumput sianik' ; DEC 77 anekahwa 'Ageratum conyzoides'";
2535;G16;;G16;
2539;§ 59;;§ 59;
2547;G36;;G36;
2558;cf. ekai 'faeces';;lih. ekai 'kotoran';
2574;see kiehodi and the like;;lihat kiehodi dan sejenisnya;
2576;see VIz6;;lihat VIz6;
2578;123z12;;123z12;
2591;cf. kipahakoi u- 'to follow something';;bdk. kipahakoi u- 'mengikuti sesuatu';
2593;G30;;G30;
2607;cf. H16 ènè;;bdk H16 ènè;
2611;cf. eʔe:u and the like;;lih. eʔe:u dan sejenisnya;
2621;G73;;G73;
2640;86z23;;86z23;
2644;106z16;;106z16;
2647;see ʔẽʔẽpã;;lihat ʔẽʔẽpã;
2662;1112z22f;;1112z22f;
2671;G60;;G60;
2685;Vz30;;Vz30;
2705;§ 64b;;§ 64b;
2711;H88:277 kamioe 'pisang gembor';;H88:277 kamioe 'pisang gembor';
2713;H88:277 pisang dingin;;H88:277 pisang dingin;
2725;"115z31 ; 116z1o: treat improperly";"115z31 ; 116z10: treat improperly";"115z31; 116z1o: perlakukan dengan tidak benar";"115z31 ; 116z10: perlakukan dengan tidak benar"
2726;107z14;;107z14;
2731;13Oz31;130z31;13Oz31;130z31
2740;H88:292 For stomach illness and diarrhoea (bibioeh) , the patient should hold the stomach over a stone , which is heated by a bright fire and onto which cold water is poured continuously by the doekoen/shaman;;H88:292 Untuk penyakit perut dan diare (bibioeh), pasien harus memegang perut di atas batu, yang dipanaskan dengan api yang terang dan di atasnya disiram air dingin secara terus menerus oleh doekoen/dukun;
2741;125z4;;125z4;
2751;"IXz5-10 ; 46z12f";;"IXz5-10; 46z12f";"IXz5-10 ; 46z12f"
2752;§ 8a;;§ 8a;
2765;109z19;;109z19;
2766;"cf. mẽhẽnã ; 110z16f";;"bdk. mẽhẽnã ; 110z16f";
2790;136z15 :;136z15: condemning;136z15 :;136z15: kutukan
2806;cf. 106z1;;lih. 106z1;
2813;"106z19 ; 127z6 :";"106z19 ; 127z6: completely different";"106z19; 127z6:";"106z19 ; 127z6: sangat berbeda"
2820;Vz31;;Vz31;
2821;see kabobo;;lihat kabobo;
2837;IVz12;;IVz12;
2843;G42;;G42;
2855;109z33 eʔakũkũmĩĩ;;109z33 eʔakũkũmĩĩ;
2859;H16 kieakoena;;H16 kieakoena;
2860;G42;;G42;
2862;G69;;G69;
2889;§ 35h;;§ 35h;
2918;125z15f;;125z15f;
2937;111z25;;111z25;
2938;111z27;;111z27;
2941;90z8;;90z8;
2948;VIIIz21;;VIIIz21;
2952;"see kaupe ; § 23c";;"lihat kaupe; § 23c";"lihat kaupe ; § 23c"
2953;§ 3;;§ 3;
2954;§ 3;;§ 3;
2955;§ 3.3;;§ 3.3;
2963;"cf. kiʔebara '(knife) to be bent' ; kẽmõnãʔã and the like";;"bdk. kiʔebara '(pisau) yang dibengkokkan'; kẽmõnãʔã dan sejenisnya";"bdk. kiʔebara '(pisau) yang mata pisaunya bengkok' ; kẽmõnãʔã dan sejenisnya"
2970;126z12:;126z12: reconciliation;126z12:;126z12: rekonsiliasi
2973;cf. kuhedi and the like;;cf. kuhedi dan sejenisnya;
2982;see keʔehĩ;;lihat keʔehĩ;
2989;cf. kanẽõnẽõ and the like , edea 'nasal mucus';;bdk. kanẽõnẽõ dan sejenisnya , edea 'lendir hidung';
3007;§ 29b;;§ 29b;
3013;G68;;G68;
3018;110z9;;110z9;
3019;112z7;;112z7;
3028;109z30;;109z30;
3034;VIz7 alternative expression for eʔekoa;;VIz7 ekspresi alternatif untuk eʔekoa;
3036;126z17;;126z17;
3039;88z20;;88z20;
3047;cf. padi⁴;;lih. padi⁴;
3057;Alternate expression for karaha:uhu , V233 however eparoʔOa;;Ekspresi alternatif untuk karaha: uhu , V233 namun eparoʔOa;Ekspresi alternatif untuk karaha:uhu , V233 namun eparoʔOa
3060;125z2 , 137z2;;125z2, 137z2;125z2 , 137z2
3071;G74;;G74;
3077;Alternate expression for pukai , Vz35f;;Ekspresi alternatif untuk pukai , Vz35f;
3083;128z31: epeeo;;128z31: epeeo;
3089;110z36;;110z36;
3091;G44:;G44: turn , turn over;G44:;G44: berbalik , membalikkan badan
3115;89z26;;89z26;
3133;cf. epaʔãũ 'spear';;lih. epaʔãũ 'tombak';
3139;G1;;G1;
3140;cf. kidebəʔa 'wet';;lih. kidebəʔa 'basah';
3141;cf. eʔapa·rabia 'mensis';;bdk. eʔapa-rabia 'mensis';bdk. eʔapa·rabia 'mensis'
